product_id,category,craft_type,material,state,district,size_m_or_units,weight_kg,handmade,quality_grade,design_complexity,raw_material_cost_inr,labour_cost_inr,inbound_procurement_cost_inr,production_overhead_inr,cost_floor_inr,selling_price_inr,mrp_inr,discount_pct,seller_count,rating,review_count,stock_units,trend_7d_pct,trend_30d_pct,trend_90d_pct,season,demand_index
SP-00001,Home Decor,Metal Craft,Clay,Maharashtra,Kolhapur,4.68,0.42,0,5,4,382.16,1776.18,151.6,198.32,2508.26,5182.67,5299.25,0.022,92,4.5,1383,94,0.023301534878060803,0.1527241206968033,0.1448014947603273,Normal,0.643
SP-00002,Saree,Basketry,Jute,Gujarat,Vadodara,5.86,2.75,1,5,2,432.3,327.56,214.42,347.9,1322.18,2221.86,2664.1,0.166,57,3.73,2822,100,-0.005612136453576867,-0.04137727282478778,0.1685567076120793,Normal,0.523
SP-00003,Jewellery,Block Print,Bamboo,Telangana,Warangal,2.37,2.93,1,4,5,1355.25,856.92,67.73,129.96,2409.86,2960.68,3696.23,0.199,48,3.98,1227,17,0.03445596993449921,0.10312882258385403,-0.16314493117690662,Monsoon,0.475
SP-00004,Wall Art,Metal Craft,Clay,Uttar Pradesh,Moradabad,5.09,2.26,1,3,1,171.77,605.74,147.91,135.83,1061.25,1357.67,1767.8,0.232,68,3.91,2525,117,-0.0437843161668961,-0.07332872140034807,-0.07711236576025782,Normal,0.553
SP-00005,Home Decor,Pottery,Clay,Telangana,Nalgonda,1.5,0.18,1,5,4,445.67,1168.36,165.28,110.92,1890.23,3503.02,3615.09,0.031,87,3.5,1694,144,0.05326925544863931,0.03015145154905764,0.0022722700729354006,Festival,0.404
SP-00006,Pottery,Wood Craft,Brass,West Bengal,Hooghly,6.32,2.75,1,2,4,262.2,682.19,273.7,232.31,1450.4,1997.38,2670.29,0.252,55,4.2,1543,94,0.04172118217729287,0.06377356023322779,-0.0250639929114871,Winter,0.617
SP-00007,Jewellery,Handloom,Brass,Gujarat,Kutch,2.99,0.24,1,1,1,252.6,350.39,188.66,118.24,909.89,1416.45,1704.51,0.169,41,4.24,324,12,0.0005095098422116008,-0.09766861475563088,0.1716241514903047,Normal,0.305
SP-00008,Home Decor,Basketry,Clay,Rajasthan,Jodhpur,3.93,1.71,1,5,5,977.4,1373.31,35.84,380.52,2767.07,4787.41,6417.44,0.254,41,4.16,1603,16,0.012068258148065584,-0.06356537528258116,-0.19794927115269711,Festival,0.626
SP-00009,Bag,Leather Craft,Wool,Karnataka,Dharwad,3.83,1.36,0,1,3,1479.95,652.58,108.55,256.02,2497.1,3412.01,4959.32,0.312,97,4.81,4228,133,-0.012739384771469523,0.08460722014820807,-0.002797356854524799,Normal,0.379
SP-00010,Pottery,Block Print,Wood,Rajasthan,Barmer,5.13,2.35,1,2,5,521.67,1534.76,282.94,146.39,2485.76,3472.25,3897.03,0.109,14,4.39,1602,145,0.10618328603916487,0.022048078671739937,0.008690028618241967,Festival,0.489
SP-00011,Accessory,Pottery,Silk,Uttar Pradesh,Moradabad,1.88,0.55,1,1,5,1106.27,1056.34,186.9,129.91,2479.42,3740.89,4344.82,0.139,17,3.95,661,73,0.06579512711780065,-0.0926392717739564,0.07490103881510679,Normal,0.6
SP-00012,Pottery,Embroidery,Leather,Tamil Nadu,Coimbatore,6.05,0.18,1,2,1,330.87,327.01,143.16,436.49,1237.53,1909.37,1984.79,0.038,77,3.77,1252,119,-0.022662167527941004,0.011261663845082391,-0.1641507202939205,Monsoon,0.57
SP-00013,Basket,Pottery,Wood,Uttar Pradesh,Varanasi,5.71,2.15,1,4,1,1300.31,810.37,264.22,231.56,2606.46,3128.82,3950.53,0.208,46,4.25,961,123,-0.04437112906370155,-0.06967855784546398,0.3639061645314103,Normal,0.357
