state,district_or_market,material,date,modal_price_inr_per_unit
Maharashtra,Pune,Cotton,2026-01-01,837.35
Maharashtra,Solapur,Cotton,2026-02-01,792.52
Maharashtra,Kolhapur,Cotton,2026-03-01,714.91
Maharashtra,Nagpur,Cotton,2026-04-01,805.16
Maharashtra,Nagpur,Cotton,2026-05-01,858.62
Maharashtra,Nagpur,Cotton,2026-06-01,850.06
Maharashtra,Kolhapur,Cotton,2026-07-01,787.88
Maharashtra,Nagpur,Cotton,2026-08-01,726.84
Maharashtra,Kolhapur,Cotton,2026-09-01,855.38
Maharashtra,Solapur,Silk,2026-01-01,195.35
Maharashtra,Pune,Silk,2026-02-01,186.58
Maharashtra,Solapur,Silk,2026-03-01,210.2
Maharashtra,Solapur,Silk,2026-04-01,203.95
Maharashtra,Kolhapur,Silk,2026-05-01,189.08
Maharashtra,Pune,Silk,2026-06-01,189.85
Maharashtra,Nagpur,Silk,2026-07-01,222.09
Maharashtra,Pune,Silk,2026-08-01,215.05
Maharashtra,Solapur,Silk,2026-09-01,207.41
Maharashtra,Kolhapur,Wool,2026-01-01,1761.29
Maharashtra,Kolhapur,Wool,2026-02-01,1613.11
Maharashtra,Solapur,Wool,2026-03-01,1838.9
Maharashtra,Solapur,Wool,2026-04-01,1769.49
Maharashtra,Pune,Wool,2026-05-01,1895.61
Maharashtra,Pune,Wool,2026-06-01,1616.36
Maharashtra,Solapur,Wool,2026-07-01,1809.09
Maharashtra,Pune,Wool,2026-08-01,1757.42
Maharashtra,Solapur,Wool,2026-09-01,1899.77
Maharashtra,Kolhapur,Jute,2026-01-01,324.07
Maharashtra,Pune,Jute,2026-02-01,338.52
Maharashtra,Pune,Jute,2026-03-01,306.51
Maharashtra,Nagpur,Jute,2026-04-01,325.59
Maharashtra,Kolhapur,Jute,2026-05-01,328.29
Maharashtra,Solapur,Jute,2026-06-01,298.0
Maharashtra,Kolhapur,Jute,2026-07-01,322.59
Maharashtra,Nagpur,Jute,2026-08-01,337.14
Maharashtra,Pune,Jute,2026-09-01,311.1
Maharashtra,Kolhapur,Clay,2026-01-01,345.37
Maharashtra,Nagpur,Clay,2026-02-01,293.49
Maharashtra,Solapur,Clay,2026-03-01,329.03
Maharashtra,Pune,Clay,2026-04-01,320.31
Maharashtra,Solapur,Clay,2026-05-01,284.29
Maharashtra,Solapur,Clay,2026-06-01,319.84
Maharashtra,Kolhapur,Clay,2026-07-01,309.31
Maharashtra,Solapur,Clay,2026-08-01,343.63
Maharashtra,Nagpur,Clay,2026-09-01,353.13
Maharashtra,Pune,Wood,2026-01-01,716.68
Maharashtra,Nagpur,Wood,2026-02-01,772.27
Maharashtra,Nagpur,Wood,2026-03-01,737.43
