state,district,craft_type,typical_material,typical_category
Maharashtra,Pune,Metal Craft,Bamboo,Saree
Maharashtra,Pune,Jewellery,Cotton,Jewellery
Maharashtra,Pune,Embroidery,Cotton,Bag
Maharashtra,Nagpur,Wood Craft,Leather,Saree
Maharashtra,Nagpur,Pottery,Silver-plated,Pottery
Maharashtra,Nagpur,Leather Craft,Clay,Basket
Maharashtra,Solapur,Pottery,Cotton,Pottery
Maharashtra,Solapur,Wood Craft,Leather,Pottery
Maharashtra,Solapur,Metal Craft,Leather,Bag
Maharashtra,Kolhapur,Metal Craft,Jute,Basket
Maharashtra,Kolhapur,Pottery,Brass,Bag
Maharashtra,Kolhapur,Handloom,Bamboo,Stole
Gujarat,Ahmedabad,Basketry,Wool,Saree
Gujarat,Ahmedabad,Wood Craft,Clay,Pottery
Gujarat,Ahmedabad,Jewellery,Silk,Bag
Gujarat,Surat,Wood Craft,Wool,Basket
Gujarat,Surat,Leather Craft,Wood,Saree
Gujarat,Surat,Basketry,Clay,Stole
Gujarat,Kutch,Embroidery,Leather,Basket
Gujarat,Kutch,Handloom,Wood,Accessory
Gujarat,Kutch,Jewellery,Clay,Bag
Gujarat,Vadodara,Handloom,Wool,Stole
Gujarat,Vadodara,Wood Craft,Silver-plated,Saree
Gujarat,Vadodara,Block Print,Leather,Basket
Rajasthan,Jaipur,Embroidery,Brass,Accessory
Rajasthan,Jaipur,Handloom,Clay,Stole
Rajasthan,Jaipur,Block Print,Bamboo,Stole
Rajasthan,Jodhpur,Wood Craft,Wool,Wall Art
Rajasthan,Jodhpur,Jewellery,Wool,Basket
Rajasthan,Jodhpur,Handloom,Silver-plated,Jewellery
Rajasthan,Udaipur,Metal Craft,Wool,Bag
Rajasthan,Udaipur,Embroidery,Cotton,Stole
Rajasthan,Udaipur,Jewellery,Clay,Home Decor
Rajasthan,Barmer,Pottery,Bamboo,Home Decor
Rajasthan,Barmer,Handloom,Jute,Home Decor
Rajasthan,Barmer,Leather Craft,Jute,Saree
West Bengal,Murshidabad,Leather Craft,Silk,Wall Art
